step,body_id,x,y,z
0,0,0.573386,0.623007,0.603108
0,1,4.7688e+10,-2.74288e+09,1.36166e+10
0,2,1.37495e+10,9.59107e+10,-2.89696e+10
0,3,-1.38018e+11,-6.2375e+09,6.24598e+10
0,4,-4.73071e+09,-1.87815e+11,-7.11141e+10
0,5,2.59918e+11,-9.53487e+08,-9.77393e+10
0,6,2.6004e+11,4.72404e+10,9.35321e+10
0,7,1.93649e+11,1.43391e+11,-8.32883e+10
0,8,5.93674e+10,-2.56599e+11,4.34418e+10
0,9,1.18241e+11,-2.54342e+11,-1.42498e+11
0,10,-5.52849e+10,-3.37649e+11,6.04376e+10
0,11,-2.51986e+11,1.53493e+11,5.78492e+10
0,12,-2.30733e+11,-6.79058e+10,9.74138e+10
0,13,2.1353e+11,2.41591e+11,-5.28312e+10
0,14,-2.12638e+10,3.22387e+11,-1.86582e+10
0,15,-2.04897e+11,1.28678e+11,-7.78716e+10
0,16,-2.17872e+11,-2.09838e+11,-4.08415e+10
0,17,-1.99272e+11,-2.30321e+11,1.30456e+11
0,18,9.11908e+10,-2.59174e+11,-6.12188e+10
0,19,-2.54964e+11,-7.49041e+10,-9.3855e+10
0,20,2.49989e+11,3.03115e+11,2.50005e+11
0,21,2.50023e+11,3.03237e+11,2.50037e+11
0,22,2.50059e+11,3.03195e+11,2.50006e+11
0,23,2.50036e+11,3.0327e+11,2.50048e+11
0,24,2.49952e+11,3.02983e+11,2.50011e+11
0,25,2.49991e+11,3.02969e+11,2.49989e+11
0,26,2.50067e+11,3.02999e+11,2.49953e+11
0,27,2.50119e+11,3.03079e+11,2.49953e+11
0,28,2.49994e+11,3.02979e+11,2.49991e+11
0,29,2.5011e+11,3.03219e+11,2.50024e+11
0,30,2.49949e+11,3.03237e+11,2.50033e+11
0,31,2.49865e+11,3.03115e+11,2.50009e+11
0,32,2.50043e+11,3.03235e+11,2.50035e+11
0,33,2.49945e+11,3.03235e+11,2.50029e+11
0,34,2.49861e+11,3.0318e+11,2.50011e+11
0,35,2.50111e+11,3.0305e+11,2.49946e+11
0,36,2.49925e+11,3.03022e+11,2.50019e+11
0,37,2.49835e+11,3.03154e+11,2.50019e+11
0,38,2.50124e+11,3.03212e+11,2.5002e+11
0,39,2.49967e+11,3.03246e+11,2.50034e+11
0,40,2.49936e+11,3.03198e+11,2.50024e+11
0,41,2.5009e+11,3.03246e+11,2.5004e+11
0,42,2.49889e+11,3.03181e+11,2.50012e+11
0,43,2.50069e+11,3.03016e+11,2.49959e+11
0,44,2.50124e+11,3.03161e+11,2.49989e+11
0,45,2.50034e+11,3.03259e+11,2.50045e+11
0,46,2.49933e+11,3.02999e+11,2.5002e+11
0,47,2.49854e+11,3.03179e+11,2.50012e+11
0,48,2.4995e+11,3.02975e+11,2.50009e+11
0,49,2.49961e+11,3.03013e+11,2.50017e+11
0,50,2.50121e+11,3.03071e+11,2.49952e+11
0,51,2.49987e+11,3.03272e+11,2.50043e+11
0,52,2.49921e+11,3.02993e+11,2.50019e+11
0,53,2.50092e+11,3.031e+11,2.49967e+11
0,54,2.50034e+11,3.03245e+11,2.50038e+11
0,55,2.49917e+11,3.03239e+11,2.50024e+11
0,56,2.49876e+11,3.03088e+11,2.50008e+11
0,57,2.49914e+11,3.03021e+11,2.50023e+11
0,58,2.5007e+11,3.03152e+11,2.49982e+11
0,59,2.50026e+11,3.02992e+11,2.49982e+11
0,60,2.50036e+11,3.03238e+11,2.50037e+11
0,61,2.49837e+11,3.03153e+11,2.50015e+11
0,62,2.50053e+11,3.03056e+11,2.50003e+11
0,63,2.50129e+11,3.03148e+11,2.49984e+11
0,64,2.499e+11,3.03059e+11,2.50008e+11
0,65,2.50122e+11,3.03028e+11,2.49937e+11
0,66,2.4998e+11,3.02974e+11,2.49999e+11
0,67,2.50129e+11,3.03134e+11,2.49976e+11
0,68,2.50001e+11,3.0299e+11,2.49996e+11
0,69,2.50108e+11,3.03169e+11,2.49993e+11
0,70,2.49979e+11,3.03024e+11,2.50015e+11
0,71,2.50175e+11,3.03157e+11,2.50069e+11
0,72,2.4978e+11,3.03419e+11,2.49844e+11
0,73,2.49745e+11,3.02649e+11,2.50298e+11
0,74,2.34003e+11,1.56004e+11,6.23991e+11
0,75,3e+11,1.50001e+11,8.49014e+06
0,76,1.1547e+12,1.15471e+12,1.15471e+12
0,77,1.20959e+11,-7.44363e+11,-3.82006e+11
0,78,9.11081e+11,1.14791e+12,-2.52763e+12
0,79,-2.46301e+12,1.61817e+12,-1.44947e+11
0,80,2.82871e+11,-1.47438e+12,-3.59698e+11
0,81,2.8176e+12,-9.16276e+11,-3.84222e+11
0,82,1.26879e+12,-5.43711e+10,-2.12396e+11
0,83,-2.7104e+12,-8.79993e+11,5.02509e+11
0,84,-8.34619e+11,9.04418e+11,1.56151e+12
0,85,3.90915e+11,-2.43146e+12,1.34973e+12
0,86,1.36738e+12,-1.3402e+12,1.14411e+12
0,87,2.641e+12,5.8738e+11,-2.9038e+11
0,88,1.65724e+12,-1.42112e+12,7.93612e+10
0,89,1.8472e+11,1.20508e+12,1.33279e+12
0,90,-2.37514e+11,-2.47373e+12,1.49458e+12
0,91,-2.36027e+12,-1.15442e+12,1.243e+12
0,92,-1.95461e+12,-7.00034e+11,4.02168e+11
0,93,-2.15463e+11,6.63703e+11,-7.80858e+11
0,94,5.62379e+11,4.59388e+11,6.86079e+11
0,95,-8.60285e+11,-1.91754e+11,-1.89202e+11
0,96,-9.31658e+11,-4.7168e+10,-7.6406e+11
0,97,4.3161e+11,-1.43611e+11,-1.61055e+12
0,98,-1.07872e+12,1.02275e+11,-1.3134e+10
100,0,5781.67,6309.68,6096.43
100,1,4.7715e+10,2.19124e+09,1.43041e+10
100,2,1.02374e+10,9.63518e+10,-2.94026e+10
100,3,-1.37868e+11,-8.98099e+09,6.30286e+10
100,4,-2.30432e+09,-1.87861e+11,-7.15511e+10
100,5,2.59918e+11,1.09872e+09,-9.79812e+10
100,6,2.59665e+11,4.92629e+10,9.38879e+10
100,7,1.92354e+11,1.45124e+11,-8.37475e+10
100,8,6.15149e+10,-2.56093e+11,4.36026e+10
100,9,1.19903e+11,-2.53562e+11,-1.43001e+11
100,10,-5.33792e+10,-3.37955e+11,6.05949e+10
100,11,-2.53056e+11,1.51723e+11,5.79694e+10
100,12,-2.30131e+11,-6.99199e+10,9.79072e+10
100,13,2.12032e+11,2.42908e+11,-5.29361e+10
100,14,-2.32865e+10,3.22247e+11,-1.86946e+10
100,15,-2.06048e+11,1.26826e+11,-7.8096e+10
100,16,-2.16429e+11,-2.11326e+11,-4.09486e+10
100,17,-1.97873e+11,-2.31524e+11,1.30951e+11
100,18,9.31931e+10,-2.58461e+11,-6.14555e+10
100,19,-2.54378e+11,-7.68707e+10,-9.43404e+10
100,20,2.48855e+11,3.03767e+11,2.50493e+11
100,21,2.50052e+11,3.03098e+11,2.50503e+11
100,22,2.47063e+11,3.00741e+11,2.50595e+11
100,23,2.49352e+11,3.04553e+11,2.5073e+11
100,24,2.47683e+11,3.03975e+11,2.5025e+11
100,25,2.47974e+11,3.03454e+11,2.50099e+11
100,26,2.48216e+11,3.03128e+11,2.49973e+11
100,27,2.49038e+11,3.02576e+11,2.50091e+11
100,28,2.47661e+11,3.04004e+11,2.50023e+11
100,29,2.49728e+11,3.04018e+11,2.50654e+11
100,30,2.50678e+11,3.03868e+11,2.50338e+11
100,31,2.50156e+11,3.05318e+11,2.51042e+11
100,32,2.49926e+11,3.03378e+11,2.50625e+11
100,33,2.50809e+11,3.03835e+11,2.5027e+11
100,34,2.49561e+11,3.05415e+11,2.50881e+11
100,35,2.48924e+11,3.0277e+11,2.49987e+11
100,36,2.49356e+11,3.06428e+11,2.50424e+11
100,37,2.48354e+11,3.04807e+11,2.50873e+11
100,38,2.49773e+11,3.04028e+11,2.5063e+11
100,39,2.50337e+11,3.03998e+11,2.50397e+11
100,40,2.5179e+11,3.00338e+11,2.49609e+11
100,41,2.49551e+11,3.04336e+11,2.507e+11
100,42,2.51659e+11,3.04574e+11,2.50668e+11
100,43,2.47476e+11,3.03513e+11,2.50062e+11
100,44,2.49707e+11,3.02994e+11,2.50584e+11
100,45,2.49459e+11,3.04385e+11,2.50704e+11
100,46,2.4773e+11,3.04789e+11,2.50428e+11
100,47,2.49123e+11,3.05366e+11,2.50875e+11
100,48,2.47881e+11,3.03534e+11,2.50302e+11
100,49,2.49059e+11,3.07247e+11,2.5009e+11
100,50,2.49091e+11,3.02593e+11,2.50066e+11
100,51,2.49483e+11,3.04653e+11,2.50666e+11
100,52,2.47753e+11,3.03943e+11,2.50497e+11
100,53,2.45998e+11,3.02945e+11,2.51043e+11
100,54,2.49836e+11,3.03892e+11,2.50632e+11
100,55,2.50317e+11,3.04855e+11,2.50489e+11
100,56,2.50719e+11,3.05444e+11,2.50934e+11
100,57,2.48725e+11,3.05739e+11,2.50604e+11
100,58,2.43658e+11,3.02234e+11,2.51943e+11
100,59,2.47346e+11,3.04355e+11,2.50036e+11
100,60,2.4993e+11,3.03504e+11,2.50622e+11
100,61,2.48424e+11,3.04908e+11,2.50873e+11
100,62,2.45798e+11,3.09128e+11,2.5166e+11
100,63,2.49703e+11,3.02961e+11,2.50541e+11
100,64,2.51834e+11,3.05878e+11,2.50456e+11
100,65,2.49287e+11,3.02817e+11,2.49954e+11
100,66,2.4779e+11,3.0367e+11,2.50118e+11
100,67,2.49613e+11,3.02795e+11,2.50455e+11
100,68,2.4743e+11,3.04954e+11,2.50041e+11
100,69,2.49268e+11,3.02357e+11,2.50746e+11
100,70,2.50532e+11,3.08932e+11,2.49889e+11
100,71,2.49046e+11,3.02728e+11,2.50392e+11
100,72,2.49141e+11,3.04488e+11,2.50418e+11
100,73,2.4835e+11,3.04134e+11,2.50288e+11
100,74,2.34264e+11,1.56396e+11,6.23074e+11
100,75,2.99995e+11,1.50093e+11,8.57519e+08
100,76,1.15422e+12,1.15518e+12,1.15518e+12
100,77,1.20672e+11,-7.45134e+11,-3.81586e+11
100,78,9.10607e+11,1.14768e+12,-2.5277e+12
100,79,-2.46299e+12,1.61774e+12,-1.44864e+11
100,80,2.83187e+11,-1.47425e+12,-3.60215e+11
100,81,2.81766e+12,-9.16715e+11,-3.84241e+11
100,82,1.26838e+12,-5.42644e+10,-2.11749e+11
100,83,-2.71025e+12,-8.79647e+11,5.02118e+11
100,84,-8.34388e+11,9.04775e+11,1.5608e+12
100,85,3.91083e+11,-2.43211e+12,1.34975e+12
100,86,1.36813e+12,-1.34005e+12,1.14361e+12
100,87,2.64104e+12,5.87239e+11,-2.9117e+11
100,88,1.65711e+12,-1.4213e+12,7.98523e+10
100,89,1.84838e+11,1.20552e+12,1.33283e+12
100,90,-2.37634e+11,-2.47345e+12,1.49502e+12
100,91,-2.36015e+12,-1.15486e+12,1.24242e+12
100,92,-1.95487e+12,-6.99672e+11,4.01907e+11
100,93,-2.1558e+11,6.64332e+11,-7.79741e+11
100,94,5.61795e+11,4.60148e+11,6.8535e+11
100,95,-8.60428e+11,-1.92376e+11,-1.88462e+11
100,96,-9.31533e+11,-4.71923e+10,-7.63268e+11
100,97,4.30959e+11,-1.44123e+11,-1.61063e+12
100,98,-1.07855e+12,1.02281e+11,-1.40236e+10
200,0,22967.8,25178.3,24280.3
200,1,4.72284e+10,7.10242e+09,1.48379e+10
200,2,6.71196e+09,9.6669e+10,-2.97977e+10
200,3,-1.37665e+11,-1.17211e+10,6.35733e+10
200,4,1.22458e+08,-1.87876e+11,-7.19764e+10
200,5,2.59901e+11,3.15087e+09,-9.8217e+10
200,6,2.59274e+11,5.12824e+10,9.42381e+10
200,7,1.91044e+11,1.46844e+11,-8.41998e+10
200,8,6.36582e+10,-2.55568e+11,4.37604e+10
200,9,1.21561e+11,-2.52772e+11,-1.43498e+11
200,10,-5.14718e+10,-3.38251e+11,6.07502e+10
200,11,-2.54113e+11,1.49946e+11,5.80867e+10
200,12,-2.29511e+11,-7.19287e+10,9.83931e+10
200,13,2.10525e+11,2.44215e+11,-5.30389e+10
200,14,-2.53083e+10,3.22095e+11,-1.87302e+10
200,15,-2.07184e+11,1.24963e+11,-7.8314e+10
200,16,-2.14976e+11,-2.12804e+11,-4.10537e+10
200,17,-1.96467e+11,-2.32718e+11,1.31442e+11
200,18,9.51898e+10,-2.57732e+11,-6.16885e+10
200,19,-2.53777e+11,-7.88329e+10,-9.48202e+10
200,20,2.47718e+11,3.04415e+11,2.50979e+11
200,21,2.48875e+11,3.04656e+11,2.51188e+11
200,22,2.44711e+11,2.9853e+11,2.51249e+11
200,23,2.47572e+11,3.03965e+11,2.50853e+11
200,24,2.47446e+11,3.038e+11,2.50987e+11
200,25,2.47934e+11,3.04884e+11,2.51119e+11
